slug,title,net_effect_consensus,median_pay,num_jobs,fable5_commercial_weight,fable5_consumer_weight,fable5_undefined_weight,fable5_rationale,gpt56sol_commercial_weight,gpt56sol_consumer_weight,gpt56sol_undefined_weight,gpt56sol_rationale,grok45_commercial_weight,grok45_consumer_weight,grok45_undefined_weight,grok45_rationale,avg_commercial_weight,avg_consumer_weight,avg_undefined_weight
medical-dosimetrists,Medical dosimetrists,replace,138110,4800,1.0,0.0,0.0,"AI treatment planning and dose optimization software is purchased by hospitals and cancer centers as part of their radiotherapy systems; patients cannot bypass dosimetrists with consumer tools, so disruption is entirely employer-driven.",0.95,0.0,0.05,"AI treatment-planning and dose-optimization systems are overwhelmingly purchased by hospitals and radiotherapy clinics, while patients cannot realistically bypass dosimetrists with consumer AI due to clinical integration, regulation, and safety requirements.",1.0,0.0,0.0,"AI auto-planning and dose-optimization tools are specialized clinical software purchased and deployed by hospitals and radiation oncology centers, with no viable consumer pathway for individuals to bypass dosimetrists.",0.9833,0.0,0.0167
quality-control-inspectors,Quality control inspectors,replace,47460,598000,0.95,0.0,0.05,Machine vision and automated inspection systems are purchased by manufacturers and industrial employers to replace inspector headcount; individuals have no consumer pathway to bypass quality control inspection services.,1.0,0.0,0.0,"Quality control inspectors work primarily for manufacturers and other organizations that purchase AI machine-vision, sensor, and automated inspection systems directly.",1.0,0.0,0.0,"AI machine vision and automated inspection systems that replace quality control inspectors are purchased exclusively by manufacturers and production employers, with no consumer pathway for individuals to bypass the occupation.",0.9833,0.0,0.0167
bill-and-account-collectors,Bill and account collectors,replace,46040,166900,0.95,0.0,0.05,"Collection agencies and creditor firms purchase AI voice agents and automated collection platforms to replace collector headcount; individuals never hired collectors themselves, so there is no consumer bypass channel.",0.95,0.0,0.05,"Debt collectors are overwhelmingly disrupted by creditors and collection agencies purchasing AI voice agents, skip-tracing systems, and automated workflows, with minor ambiguity from varied outsourcing and platform arrangements.",1.0,0.0,0.0,"Debt collection agencies and creditor organizations purchase AI voice agents, automated dialers, and workflow tools to replace human collectors; individuals never hire bill collectors as a paid personal service.",0.9667,0.0,0.0333
cashiers,Cashiers,replace,31190,3157200,0.95,0.0,0.05,"Retailers purchase self-checkout, computer-vision, and cashierless-store systems to replace cashier labor; consumers never buy a tool to bypass cashiers themselves, though shifting shopping behavior (e-commerce) adds slight ambiguity.",0.95,0.0,0.05,"Retail employers purchase and deploy self-checkout, AI-enabled POS, and cashierless-store systems, while customers use those employer-provided systems rather than buying AI tools to replace cashiers themselves.",1.0,0.0,0.0,"AI disruption of cashiers is driven entirely by retailers purchasing self-checkout kiosks, computer-vision systems, and cashierless-store technology; consumers do not buy AI tools to replace a cashier service they hire out of pocket.",0.9667,0.0,0.0333
compensation-and-benefits-managers,Compensation and benefits managers,replace,140360,20900,0.95,0.0,0.05,"Compensation and benefits management is an internal corporate function disrupted by employer-purchased HR analytics, benchmarking, and comp-planning AI platforms; individuals have no consumer pathway to bypass this role, with only slight ambiguity around outsourced consulting arrangements.",0.95,0.0,0.05,"Compensation and benefits managers serve organizations, so disruption overwhelmingly comes from employers purchasing AI-enabled HR analytics, planning, compliance, and consulting platforms, with minor ambiguity from outsourced service models.",1.0,0.0,0.0,"Compensation and benefits managers are internal organizational roles whose analytical work is automated by AI tools purchased by employers (or HR platforms they outsource to), with no consumer market in which individuals hire or bypass these managers.",0.9667,0.0,0.0333
financial-clerks,Financial clerks,replace,48650,1193000,0.95,0.0,0.05,"Financial clerks are employed by organizations for back-office processing (billing, payroll, claims), so disruption comes almost entirely from employers purchasing AI automation software, with no consumer channel since individuals don't hire financial clerks directly.",0.95,0.0,0.05,"Financial clerks are predominantly back-office employees whose billing, payroll, claims, loan, and record-processing tasks are automated through employer-purchased enterprise software, with only minor ambiguity across niche work settings.",1.0,0.0,0.0,"Financial clerks perform routine back-office processing (billing, payroll, claims, records) exclusively for employers and institutions that purchase AI automation tools, with no meaningful consumer market for individuals to bypass these roles.",0.9667,0.0,0.0333
insurance-underwriters,Insurance underwriters,replace,79880,127000,0.95,0.0,0.05,"Underwriting AI is purchased by insurance carriers to automate risk assessment and pricing within their operations; individuals never buy underwriting services directly, so consumer-channel disruption is essentially absent.",0.95,0.0,0.05,"Insurance carriers and related institutions purchase automated underwriting systems to replace or augment employee underwriters, while consumers generally do not hire underwriters directly or buy AI to replace them.",1.0,0.0,0.0,Insurance underwriters work exclusively for insurers that buy automated underwriting AI to process applications and set premiums; individuals never purchase underwriting services directly and thus cannot bypass the role via consumer AI tools.,0.9667,0.0,0.0333
material-recording-clerks,Material recording clerks,replace,46120,1300800,0.95,0.0,0.05,"Material recording clerks are employed by warehouses, manufacturers, and logistics firms, and the disrupting technologies—warehouse management systems, RFID, computer vision, and AI-driven inventory software—are enterprise purchases by employers, with no meaningful consumer pathway since individuals don't hire these clerks directly.",0.95,0.0,0.05,"Material recording clerks are overwhelmingly disrupted by employer-purchased warehouse management, RFID, computer vision, and inventory automation systems, with only a small undefined share for tools whose procurement context may vary.",1.0,0.0,0.0,"Material recording clerks perform internal inventory, recordkeeping, and logistics tasks exclusively for employers, so AI disruption is monetized solely through companies purchasing warehouse-management systems, RFID/sensor platforms, and automated tracking software.",0.9667,0.0,0.0333
medical-records-and-health-information-technicians,Medical records specialists,replace,50250,194800,0.95,0.0,0.05,"Medical coding and records processing is an institutional back-office function, so AI disruption comes almost entirely from hospitals, health systems, and billing companies purchasing autonomous coding and EHR automation tools, with no meaningful consumer channel since patients never hired these specialists directly.",0.95,0.0,0.05,"Medical records specialists are primarily disrupted by AI coding, documentation, and EHR tools purchased by healthcare providers, insurers, and records-management firms, with virtually no direct consumer substitution.",1.0,0.0,0.0,"Medical records specialists work inside hospitals, clinics, and billing organizations that purchase AI coding/EHR tools, with no consumer market of individuals hiring or bypassing these specialists out of pocket.",0.9667,0.0,0.0333
medical-transcriptionists,Medical transcriptionists,replace,37550,43900,0.95,0.0,0.05,"Medical transcription AI (speech recognition, ambient scribes) is purchased by hospitals, clinics, and transcription service companies, not by individual patients or workers, making this almost entirely a commercial channel.",0.95,0.0,0.05,"Medical transcription AI is overwhelmingly purchased by hospitals, clinics, and healthcare vendors to automate employee or contractor work, with minimal direct consumer substitution and slight ambiguity from independent-provider purchasing arrangements.",1.0,0.0,0.0,"AI medical transcription and ambient scribe tools are purchased exclusively by hospitals, clinics, and healthcare organizations to replace or reduce human transcriptionists, with no consumer channel as patients never hire transcriptionists directly.",0.9667,0.0,0.0333
